PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG/SG,Jamal Murray (7892789),Jamal Murray,7892789,3800,Den@Phi 07:00PM ET,Den,
,,,,,,,,,SG,J.R. Smith (7892931),J.R. Smith,7892931,3800,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,SF,Chandler Parsons (7893017),Chandler Parsons,7893017,3800,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,PG,Shelvin Mack (7892854),Shelvin Mack,7892854,3800,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,PF,David Lee (7893064),David Lee,7893064,3700,SA@Mil 08:00PM ET,SA,
,,,,,,,,,SF,Sam Dekker (7893004),Sam Dekker,7893004,3700,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,PF/C,Kelly Olynyk (7893049),Kelly Olynyk,7893049,3700,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,SG,Vince Carter (7892935),Vince Carter,7892935,3700,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,C,Dewayne Dedmon (7893117),Dewayne Dedmon,7893117,3600,SA@Mil 08:00PM ET,SA,
,,,,,,,,,PG,Jerian Grant (7892807),Jerian Grant,7892807,3600,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,SG/SF,Allen Crabbe (7892876),Allen Crabbe,7892876,3600,Por@Chi 08:00PM ET,Por,
,,,,,,,,,C,Ed Davis (7893120),Ed Davis,7893120,3600,Por@Chi 08:00PM ET,Por,
,,,,,,,,,SF,Andre Iguodala (7892996),Andre Iguodala,7892996,3600,Ind@GS 10:30PM ET,GS,
,,,,,,,,,C,Al Jefferson (7893124),Al Jefferson,7893124,3600,Ind@GS 10:30PM ET,Ind,
,,,,,,,,,PG,Isaiah Whitehead (7892820),Isaiah Whitehead,7892820,3600,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,C,Salah Mejri (7893141),Salah Mejri,7893141,3600,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,PG,Cory Joseph (7892843),Cory Joseph,7892843,3600,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,SG/SF,Terrence Ross (7892888),Terrence Ross,7892888,3600,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,PF,Channing Frye (7893095),Channing Frye,7893095,3600,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,SG/SF,James Ennis (7892891),James Ennis,7892891,3600,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,PG/SG,Tim Hardaway Jr. (7892782),Tim Hardaway Jr.,7892782,3500,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,SG/SF,Tony Snell (7892872),Tony Snell,7892872,3500,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,PG,Tomas Satoransky (7892818),Tomas Satoransky,7892818,3500,Was@Bkn 07:30PM ET,Was,
,,,,,,,,,SF,Joe Harris (7892999),Joe Harris,7892999,3500,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,SG/SF,Justin Anderson (7892884),Justin Anderson,7892884,3500,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,SG,Gerald Henderson (7892926),Gerald Henderson,7892926,3500,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,PG,Wade Baldwin IV (7892852),Wade Baldwin IV,7892852,3500,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,SG,Kyle Korver (7892893),Kyle Korver,7892893,3400,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,SF/PF,Michael Beasley (7892945),Michael Beasley,7892945,3400,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,SF,Anthony Bennett (7893000),Anthony Bennett,7893000,3400,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,PG,Ramon Sessions (7892831),Ramon Sessions,7892831,3400,Cha@Dal 08:30PM ET,Cha,
,,,,,,,,,SG,Marco Belinelli (7892922),Marco Belinelli,7892922,3400,Cha@Dal 08:30PM ET,Cha,
,,,,,,,,,SF,Solomon Hill (7893018),Solomon Hill,7893018,3400,Mem@NO 08:00PM ET,NO,
,,,,,,,,,SF,Doug McDermott (7892991),Doug McDermott,7892991,3300,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,C,Zaza Pachulia (7893123),Zaza Pachulia,7893123,3300,Ind@GS 10:30PM ET,GS,
,,,,,,,,,PF/C,Montrezl Harrell (7893050),Montrezl Harrell,7893050,3300,Bos@Hou 08:00PM ET,Hou,
,,,,,,,,,PF,Amir Johnson (7893082),Amir Johnson,7893082,3300,Bos@Hou 08:00PM ET,Bos,
,,,,,,,,,PF/C,Spencer Hawes (7893051),Spencer Hawes,7893051,3300,Cha@Dal 08:30PM ET,Cha,
,,,,,,,,,PF,Jarell Martin (7893101),Jarell Martin,7893101,3300,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,PG,Jose Calderon (7892853),Jose Calderon,7892853,3300,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,PF,Domantas Sabonis (7893063),Domantas Sabonis,7893063,3200,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,PG/SG,Malcolm Brogdon (7892784),Malcolm Brogdon,7892784,3200,SA@Mil 08:00PM ET,Mil,
,,,,,,,,,PF,Meyers Leonard (7893068),Meyers Leonard,7893068,3200,Por@Chi 08:00PM ET,Por,
,,,,,,,,,PG,Shaun Livingston (7892812),Shaun Livingston,7892812,3200,Ind@GS 10:30PM ET,GS,
,,,,,,,,,SG,Jonathan Gibson (7892921),Jonathan Gibson,7892921,3200,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,SG/SF,Norman Powell (7892889),Norman Powell,7892889,3200,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,SF,Joe Ingles (7893023),Joe Ingles,7893023,3200,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,C,Timofey Mozgov (7893159),Timofey Mozgov,7893159,3200,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,SF/PF,Jerami Grant (7892944),Jerami Grant,7892944,3100,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,SG/SF,Jonathon Simmons (7892873),Jonathon Simmons,7892873,3100,SA@Mil 08:00PM ET,SA,
,,,,,,,,,SG,Isaiah Canaan (7892903),Isaiah Canaan,7892903,3100,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,PG/SG,Iman Shumpert (7892790),Iman Shumpert,7892790,3100,Cle@Tor 07:30PM ET,Cle,
,,,,,,,,,PG,Dante Exum (7892857),Dante Exum,7892857,3100,Uta@LAL 10:30PM ET,Uta,
,,,,,,,,,PG,Malcolm Delaney (7892794),Malcolm Delaney,7892794,3000,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,PG,Semaj Christon (7892795),Semaj Christon,7892795,3000,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,PG,Cameron Payne (7892797),Cameron Payne,7892797,3000,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,SG,Anthony Morrow (7892894),Anthony Morrow,7892894,3000,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,SG,Alex Abrines (7892896),Alex Abrines,7892896,3000,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,SF,Kyle Singler (7892984),Kyle Singler,7892984,3000,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,SF,Ryan Kelly (7892985),Ryan Kelly,7892985,3000,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,SF,Josh Huestis (7892986),Josh Huestis,7892986,3000,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,SF,Taurean Prince (7892987),Taurean Prince,7892987,3000,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,SF,DeAndre' Bembry (7892988),DeAndre' Bembry,7892988,3000,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,PF/C,Kris Humphries (7893041),Kris Humphries,7893041,3000,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,PF/C,Joffrey Lauvergne (7893042),Joffrey Lauvergne,7893042,3000,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,PF,Mike Scott (7893062),Mike Scott,7893062,3000,OKC@Atl 07:30PM ET,Atl,
,,,,,,,,,C,Nick Collison (7893107),Nick Collison,7893107,3000,OKC@Atl 07:30PM ET,OKC,
